,task_id,participant_id,citation_design,context_stakeness,source_reliability,task_duration,task_num_clicks,task_num_sr_clicks,task_num_aio_clicks,task_num_cd_clicks,task_show_more_clicks,task_num_external_clicks,task_time_aio,task_time_sr,task_time_cd,task_time_sr_aio,task_time_fraction_sr,task_time_fraction_aio,task_time_fraction_cd,task_num_mouse_movements,task_num_scrolls,task_num_down_scrolls,task_num_up_scrolls,task_median_scroll_duration,task_median_up_scroll_duration,task_median_down_scroll_duration,task_median_scroll_distance,task_median_up_scroll_distance,task_median_down_scroll_distance
18,1,5788c16f275be600013590a8,domain,low,high_reliability,226314,6,5,1,0,1,5,3.631000000000004,182.89600000000016,0.0,186.52700000000013,0.980533649284018,0.0194663507159821,0.0,5,14,11,3,0.5270000000000152,0.9809999999999944,0.5190000000000055,42.5,-414.0,51.0
19,1,57b6dfafe2d5a60001099543,number,low,low_reliability,91632,1,1,0,0,0,1,11.178600000023842,9.406899999976158,0.0,20.5855,0.4569672827949847,0.5430327172050152,0.0,1,10,6,4,0.2846000000238415,0.2310000000000052,0.327800000011921,59.999977111816406,-419.3333282470703,228.6666738986969
20,1,57c74977b23f0e000182dc3f,domain,high,low_reliability,87666,1,1,0,0,0,1,2.131600000023842,1.361800000011921,0.0,3.493400000035763,0.3898208049458922,0.6101791950541078,0.0,1,1,1,0,0.2932000000476833,0.0,0.2932000000476833,39.0,0.0,39.0
21,1,582468295f4d1c0001c7c467,number,high,high_reliability,53540,1,0,1,0,1,0,9.871,17.39200000011921,0.0601000000238418,27.26300000011921,0.6379341965316789,0.362065803468321,0.0022044529224068,0,18,8,10,0.4874500000476836,0.5111499999761602,0.4220000000596045,-4.0,-90.0,327.5
22,1,587b7ab8c192390001d60136,number,high,low_reliability,7228,0,0,0,0,0,0,4.012099999999977,0.0,0.0,4.012099999999977,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,58b5a090ddf4e000019336f3,number,low,low_reliability,28721,0,0,0,0,0,0,0.241,0.052,0.0,0.293,0.1774744027303754,0.8225255972696247,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,1,58f4a7947b2e410001c2edde,domain,low,high_reliability,33099,0,0,0,0,0,0,0.1308999999999068,20.54989999999991,0.0,20.680799999999817,0.9936704576225336,0.0063295423774664,0.0,0,4,3,1,0.7681000000000928,0.6596000000000934,0.8766000000000922,365.2000122070313,-1248.0,422.4000244140625
25,1,58ff31a1d10e2b000108579e,number,high,low_reliability,129767,2,2,0,0,0,2,4.864399999991059,32.224299999997015,0.0,37.08869999998809,0.8688441492963453,0.1311558507036542,0.0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,1,5942d73df8bfc00001985c3c,number,high,original,135986,4,4,0,0,0,4,3.017699999999954,43.333599999999976,0.0,46.35129999999992,0.934895029912862,0.0651049700871379,0.0,4,2,1,1,0.4481000000000072,0.2462999999999908,0.6499000000000237,-11.715425491333008,-206.1914978027344,182.76064682006836
27,1,59451bd536b8f40001de0a83,domain,high,high_reliability,198929,5,4,1,0,1,4,8.75009999999404,175.52970000001793,0.0,184.27980000001196,0.9525173133463708,0.0474826866536292,0.0,4,22,11,11,0.4900999999940438,0.4900999999940438,0.4900999999940438,1.5,-193.0,109.0
